# [1]TIME  [2]v_out09 
 2.001865e-09  1.248598e+00 
 2.003007e-09  1.240439e+00 
 2.006660e-09  1.127761e+00 
 2.011550e-09  8.286109e-01 
 2.017452e-09  3.813563e-01 
 2.021992e-09  1.660252e-01 
 2.026799e-09  9.190791e-02 
 2.031109e-09  5.324040e-02 
 2.036401e-09  2.866930e-02 
 2.041082e-09  2.276740e-02 
 2.045726e-09  2.196163e-02 
 2.050009e-09  1.958009e-02 
 2.055246e-09  1.629918e-02 
 2.060652e-09  1.309153e-02 
 2.065307e-09  1.026284e-02 
 2.070024e-09  7.587452e-03 
 2.075438e-09  7.291635e-03 
 2.081007e-09  8.226556e-03 
 2.085636e-09  -5.838678e-03 
 2.090458e-09  -3.440238e-02 
 2.095886e-09  5.335708e-02 
 2.101410e-09  3.590014e-01 
 2.106055e-09  5.879495e-01 
 2.110850e-09  6.803869e-01 
 2.116396e-09  7.368060e-01 
 2.121818e-09  8.014414e-01 
 2.126497e-09  8.720827e-01 
 2.131266e-09  9.366481e-01 
 2.136886e-09  1.004965e+00 
 2.142216e-09  1.062457e+00 
 2.146926e-09  1.105947e+00 
 2.151663e-09  1.140153e+00 
 2.157221e-09  1.167842e+00 
 2.162536e-09  1.183107e+00 
 2.167247e-09  1.187971e+00 
 2.171961e-09  1.188935e+00 
 2.177507e-09  1.210680e+00 
 2.182835e-09  1.247020e+00 
 2.184145e-09  1.248598e+00 
 2.185287e-09  1.240439e+00 
 2.188940e-09  1.127761e+00 
 2.193830e-09  8.286109e-01 
 2.199732e-09  3.813563e-01 
 2.204272e-09  1.660252e-01 
 2.209079e-09  9.190791e-02 
 2.213389e-09  5.324040e-02 
 2.218680e-09  2.866930e-02 
 2.223362e-09  2.276740e-02 
 2.228006e-09  2.196163e-02 
 2.232289e-09  1.958009e-02 
 2.237526e-09  1.629918e-02 
 2.242932e-09  1.309153e-02 
 2.247587e-09  1.026284e-02 
 2.252304e-09  7.587452e-03 
 2.257718e-09  7.291635e-03 
 2.263287e-09  8.226556e-03 
 2.267916e-09  -5.838678e-03 
 2.272738e-09  -3.440238e-02 
 2.278166e-09  5.335708e-02 
 2.283690e-09  3.590014e-01 
 2.288335e-09  5.879495e-01 
 2.293130e-09  6.803869e-01 
 2.298676e-09  7.368060e-01 
 2.304098e-09  8.014414e-01 
 2.308777e-09  8.720827e-01 
 2.313545e-09  9.366481e-01 
